0, RefreshPlayerInfo
0, GetLiveType
0, session_id=1;player_num=21;map_name=群雄逐鹿10v10;max_player=22;game_type=7;live_type=0;PlatGameType=0;create_type=4
0, is_admin=0
66622, RefreshPlayerInfo
66622, GetLiveType
66622, session_id=1;player_num=21;map_name=群雄逐鹿10v10;max_player=22;game_type=7;live_type=0;PlatGameType=0;create_type=4
执行命令，TURN[16656] 帧 66624(66625)
执行命令，TURN[16656] 帧 66624(66625)
执行命令，TURN[16656] 帧 66624(66625)
执行命令，TURN[16656] 帧 66624(66625)
执行命令，TURN[16657] 帧 66628(66629)
执行命令，TURN[16657] 帧 66628(66629)
执行命令，TURN[16658] 帧 66632(66633)
执行命令，TURN[16658] 帧 66632(66633)
执行命令，TURN[16658] 帧 66632(66633)
执行命令，TURN[16658] 帧 66632(66633)
66634, soc2
执行命令，TURN[16659] 帧 66636(66637)
执行命令，TURN[16659] 帧 66636(66637)
执行命令，TURN[16659] 帧 66636(66637)
执行命令，TURN[16660] 帧 66640(66641)
执行命令，TURN[16660] 帧 66640(66641)
执行命令，TURN[16661] 帧 66644(66645)
执行命令，TURN[16661] 帧 66644(66645)
执行命令，TURN[16661] 帧 66644(66645)
66648, soc2
执行命令，TURN[16662] 帧 66648(66649)
执行命令，TURN[16662] 帧 66648(66649)
执行命令，TURN[16662] 帧 66648(66649)
66650, soc2
执行命令，TURN[16663] 帧 66652(66653)
执行命令，TURN[16663] 帧 66652(66653)
执行命令，TURN[16664] 帧 66656(66657)
执行命令，TURN[16664] 帧 66656(66657)
执行命令，TURN[16664] 帧 66656(66657)
执行命令，TURN[16664] 帧 66656(66657)
执行命令，TURN[16664] 帧 66656(66657)
执行命令，TURN[16664] 帧 66656(66657)
执行命令，TURN[16665] 帧 66660(66661)
执行命令，TURN[16666] 帧 66664(66665)
执行命令，TURN[16666] 帧 66664(66665)
执行命令，TURN[16666] 帧 66664(66665)
执行命令，TURN[16666] 帧 66664(66665)
执行命令，TURN[16667] 帧 66668(66669)
执行命令，TURN[16667] 帧 66668(66669)
执行命令，TURN[16668] 帧 66672(66673)
执行命令，TURN[16668] 帧 66672(66673)
执行命令，TURN[16668] 帧 66672(66673)
执行命令，TURN[16668] 帧 66672(66673)
执行命令，TURN[16668] 帧 66672(66673)
执行命令，TURN[16669] 帧 66676(66677)
执行命令，TURN[16669] 帧 66676(66677)
执行命令，TURN[16669] 帧 66676(66677)
执行命令，TURN[16670] 帧 66680(66681)
执行命令，TURN[16671] 帧 66684(66685)
执行命令，TURN[16671] 帧 66684(66685)
执行命令，TURN[16671] 帧 66684(66685)
66686, soc1
执行命令，TURN[16672] 帧 66688(66689)
