2018-10-07 22:10:53:650 PID:1188 FM:     0  V±£´æ¿ìÕÕ Turn[16655][1] len[2894870] fp[2894898]  
		load snap 
Ö´ÐÐÃüÁî 302£¬Ö¡ 66624(66625)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66624(66625)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66624(66625)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66624(66625)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66628(66629)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66628(66629)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66632(66633)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66632(66633)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66632(66633)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66632(66633)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66636(66637)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66636(66637)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66636(66637)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66640(66641)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66640(66641)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66644(66645)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66644(66645)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66644(66645)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66648(66649)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66648(66649)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66648(66649)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66652(66653)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66652(66653)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66656(66657)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66656(66657)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66656(66657)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66656(66657)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66656(66657)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66656(66657)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66660(66661)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66664(66665)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66664(66665)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66664(66665)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66664(66665)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66668(66669)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66668(66669)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66672(66673)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66672(66673)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66672(66673)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66672(66673)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66672(66673)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66676(66677)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66676(66677)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66676(66677)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66680(66681)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66684(66685)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66684(66685)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66684(66685)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66688(66689)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66688(66689)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66688(66689)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66688(66689)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66688(66689)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66692(66693)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66692(66693)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66692(66693)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66700(66701)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66700(66701)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66700(66701)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66704(66705)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66704(66705)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66704(66705)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66708(66709)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66708(66709)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66708(66709)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66712(66713)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66712(66713)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66716(66717)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66716(66717)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66716(66717)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66720(66721)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66720(66721)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66720(66721)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66720(66721)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66720(66721)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66720(66721)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66724(66725)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66724(66725)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66728(66729)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66728(66729)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66728(66729)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66732(66733)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66732(66733)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66736(66737)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66736(66737)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66736(66737)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66736(66737)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66744(66745)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66744(66745)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66744(66745)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66744(66745)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66744(66745)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66748(66749)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66748(66749)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66748(66749)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66752(66753)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66752(66753)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66756(66757)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66756(66757)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66756(66757)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66760(66761)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66760(66761)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66760(66761)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66764(66765)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66764(66765)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66764(66765)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66764(66765)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66768(66769)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66768(66769)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66768(66769)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66772(66773)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66772(66773)
Ö´ÐÐÃüÁî 302£¬Ö¡ 66772(66773)
