144440, 	玩家名	controlid	天梯10V10竞技积分	天梯10V10局数	天梯胜点加分	表现系数	MVP排名 	当局MVP
144440, 	朱聪123	1	674	132	24	1	4 	386
144440, 	我去灬你找死	2	586	58	24	1	9 	283
144440, 	小姐丶跳支舞	3	556	158	24	1	10 	241
144440, 	a8710361	4	662	134	28	1.2	3 	424
144440, 	wang纠结	5	633	290	34	2	1 	521
144440, 	天空飘来五个字1	6	551	30	24	1	7 	328
144440, 	雄霸丿天下灬	7	675	52	24	1	5 	378
144440, 	右耳钉丶残恋	8	583	58	24	1	8 	304
144440, 	苍穹之夏	9	563	89	36	1.5	2 	453
144440, 	Cc丶zhous	10	634	36	24	1	6 	350
144440, 	别拿RMB唬哥	11	601	64	-16	0.7	3 	486
144440, 	z铮铮小猛儿	12	551	19	-24	1	6 	382
144440, 	老大来了快跪下	13	576	118	-12	0.5	1 	539
144440, 	迷失mm丶	14	563	41	-24	1	7 	350
144440, 	快乐小飞002	15	616	245	-22	1	5 	392
144440, 	hu46c	16	594	151	-24	1	10 	309
144440, 	剑刃vz	17	577	144	-24	1	9 	322
144440, 	落血舞剑	18	638	152	-22	1	4 	410
144440, 	我爱玉琼	19	644	122	-14	0.6	2 	495
144440, 	女人丨如花	20	559	43	-16	1	8 	334
