0, map_preloadres()
133635,  pos=3位置玩家开始断线保护
133635, i=:1    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 1 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =祝融夫人 ,tab_infor[i].kill_num =10 , tab_infor[i].death_num =16 ,tab_infor[i].use_id =68068237 ,tab_infor[i].disconnectiontime= 0
133635, i=:2    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 2 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =马超 ,tab_infor[i].kill_num =16 , tab_infor[i].death_num =19 ,tab_infor[i].use_id =99204720 ,tab_infor[i].disconnectiontime= 0
133635, i=:3    ,tab_infor[i].isfree:2 ,tab_infor[i].control= 3 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =蔡文姬 ,tab_infor[i].kill_num =19 , tab_infor[i].death_num =17 ,tab_infor[i].use_id =0 ,tab_infor[i].disconnectiontime= 0
133635, i=:4    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 4 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =高顺 ,tab_infor[i].kill_num =17 , tab_infor[i].death_num =14 ,tab_infor[i].use_id =5372849 ,tab_infor[i].disconnectiontime= 0
133635, i=:5    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 5 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =颜良 ,tab_infor[i].kill_num =24 , tab_infor[i].death_num =23 ,tab_infor[i].use_id =94489287 ,tab_infor[i].disconnectiontime= 0
133635, i=:6    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 6 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =贾诩 ,tab_infor[i].kill_num =11 , tab_infor[i].death_num =17 ,tab_infor[i].use_id =114042346 ,tab_infor[i].disconnectiontime= 0
133635, i=:7    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 7 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =张郃 ,tab_infor[i].kill_num =15 , tab_infor[i].death_num =12 ,tab_infor[i].use_id =51366001 ,tab_infor[i].disconnectiontime= 0
133635, i=:8    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 8 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =吕布 ,tab_infor[i].kill_num =10 , tab_infor[i].death_num =19 ,tab_infor[i].use_id =109175625 ,tab_infor[i].disconnectiontime= 0
133635, i=:9    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 9 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =赵云 ,tab_infor[i].kill_num =14 , tab_infor[i].death_num =13 ,tab_infor[i].use_id =33307101 ,tab_infor[i].disconnectiontime= 0
133635, i=:10    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 10 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =周瑜 ,tab_infor[i].kill_num =17 , tab_infor[i].death_num =7 ,tab_infor[i].use_id =112548799 ,tab_infor[i].disconnectiontime= 0
133635, i=:11    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 11 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =马岱 ,tab_infor[i].kill_num =27 , tab_infor[i].death_num =17 ,tab_infor[i].use_id =91576689 ,tab_infor[i].disconnectiontime= 0
133635, i=:12    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 12 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =李典 ,tab_infor[i].kill_num =7 , tab_infor[i].death_num =16 ,tab_infor[i].use_id =97138326 ,tab_infor[i].disconnectiontime= 0
133635, i=:13    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 13 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =邓芝 ,tab_infor[i].kill_num =26 , tab_infor[i].death_num =15 ,tab_infor[i].use_id =74917483 ,tab_infor[i].disconnectiontime= 0
133635, i=:14    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 14 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =曹丕 ,tab_infor[i].kill_num =17 , tab_infor[i].death_num =6 ,tab_infor[i].use_id =119158182 ,tab_infor[i].disconnectiontime= 0
133635, i=:15    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 15 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =许褚 ,tab_infor[i].kill_num =12 , tab_infor[i].death_num =23 ,tab_infor[i].use_id =113159479 ,tab_infor[i].disconnectiontime= 0
133635, i=:16    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 16 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =孙权 ,tab_infor[i].kill_num =10 , tab_infor[i].death_num =18 ,tab_infor[i].use_id =96777018 ,tab_infor[i].disconnectiontime= 0
133635, i=:17    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 17 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =司马懿 ,tab_infor[i].kill_num =19 , tab_infor[i].death_num =23 ,tab_infor[i].use_id =121535753 ,tab_infor[i].disconnectiontime= 0
133635, i=:18    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 18 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =甄姬 ,tab_infor[i].kill_num =11 , tab_infor[i].death_num =17 ,tab_infor[i].use_id =34976575 ,tab_infor[i].disconnectiontime= 0
133635, i=:19    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 19 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =邓艾 ,tab_infor[i].kill_num =18 , tab_infor[i].death_num =7 ,tab_infor[i].use_id =62209981 ,tab_infor[i].disconnectiontime= 0
133635, i=:20    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 20 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =法正 ,tab_infor[i].kill_num =10 , tab_infor[i].death_num =11 ,tab_infor[i].use_id =92785476 ,tab_infor[i].disconnectiontime= 0
133635, free_local = 0 _____________________
144255,  pos=3位置脱离断线保护
144255, i=:1    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 1 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =祝融夫人 ,tab_infor[i].kill_num =10 , tab_infor[i].death_num =17 ,tab_infor[i].use_id =68068237 ,tab_infor[i].disconnectiontime= 0
144255, i=:2    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 2 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =马超 ,tab_infor[i].kill_num =18 , tab_infor[i].death_num =21 ,tab_infor[i].use_id =99204720 ,tab_infor[i].disconnectiontime= 0
144255, i=:3    ,tab_infor[i].isfree:1 ,tab_infor[i].control= 3 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =蔡文姬 ,tab_infor[i].kill_num =19 , tab_infor[i].death_num =17 ,tab_infor[i].use_id =0 ,tab_infor[i].disconnectiontime= 0
144255, i=:4    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 4 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =高顺 ,tab_infor[i].kill_num =18 , tab_infor[i].death_num =16 ,tab_infor[i].use_id =5372849 ,tab_infor[i].disconnectiontime= 0
144255, i=:5    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 5 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =颜良 ,tab_infor[i].kill_num =26 , tab_infor[i].death_num =26 ,tab_infor[i].use_id =94489287 ,tab_infor[i].disconnectiontime= 0
144255, i=:6    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 6 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =贾诩 ,tab_infor[i].kill_num =12 , tab_infor[i].death_num =19 ,tab_infor[i].use_id =114042346 ,tab_infor[i].disconnectiontime= 0
144255, i=:7    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 7 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =张郃 ,tab_infor[i].kill_num =16 , tab_infor[i].death_num =14 ,tab_infor[i].use_id =51366001 ,tab_infor[i].disconnectiontime= 0
144255, i=:8    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 8 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =吕布 ,tab_infor[i].kill_num =11 , tab_infor[i].death_num =21 ,tab_infor[i].use_id =109175625 ,tab_infor[i].disconnectiontime= 0
144255, i=:9    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 9 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =赵云 ,tab_infor[i].kill_num =14 , tab_infor[i].death_num =15 ,tab_infor[i].use_id =33307101 ,tab_infor[i].disconnectiontime= 0
144255, i=:10    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 10 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =周瑜 ,tab_infor[i].kill_num =20 , tab_infor[i].death_num =8 ,tab_infor[i].use_id =112548799 ,tab_infor[i].disconnectiontime= 0
144255, i=:11    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 11 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =马岱 ,tab_infor[i].kill_num =28 , tab_infor[i].death_num =19 ,tab_infor[i].use_id =91576689 ,tab_infor[i].disconnectiontime= 0
144255, i=:12    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 12 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =李典 ,tab_infor[i].kill_num =7 , tab_infor[i].death_num =17 ,tab_infor[i].use_id =97138326 ,tab_infor[i].disconnectiontime= 0
144255, i=:13    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 13 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =邓芝 ,tab_infor[i].kill_num =28 , tab_infor[i].death_num =16 ,tab_infor[i].use_id =74917483 ,tab_infor[i].disconnectiontime= 0
144255, i=:14    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 14 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =曹丕 ,tab_infor[i].kill_num =20 , tab_infor[i].death_num =7 ,tab_infor[i].use_id =119158182 ,tab_infor[i].disconnectiontime= 0
144255, i=:15    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 15 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =许褚 ,tab_infor[i].kill_num =15 , tab_infor[i].death_num =24 ,tab_infor[i].use_id =113159479 ,tab_infor[i].disconnectiontime= 0
144255, i=:16    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 16 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =孙权 ,tab_infor[i].kill_num =11 , tab_infor[i].death_num =19 ,tab_infor[i].use_id =96777018 ,tab_infor[i].disconnectiontime= 0
144255, i=:17    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 17 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =司马懿 ,tab_infor[i].kill_num =19 , tab_infor[i].death_num =24 ,tab_infor[i].use_id =121535753 ,tab_infor[i].disconnectiontime= 0
144255, i=:18    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 18 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =甄姬 ,tab_infor[i].kill_num =13 , tab_infor[i].death_num =19 ,tab_infor[i].use_id =34976575 ,tab_infor[i].disconnectiontime= 0
144255, i=:19    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 19 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =邓艾 ,tab_infor[i].kill_num =21 , tab_infor[i].death_num =8 ,tab_infor[i].use_id =62209981 ,tab_infor[i].disconnectiontime= 0
144255, i=:20    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 20 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =法正 ,tab_infor[i].kill_num =12 , tab_infor[i].death_num =11 ,tab_infor[i].use_id =92785476 ,tab_infor[i].disconnectiontime= 0
144255, free_local = 1 _____________________
