[2018-10-09 19:37:08] [6392] [2:error] [269531] build version:(1010025)
[2018-10-09 19:37:08] [10248] [2:error] [269578] Invoke nomal login
[2018-10-09 19:37:08] [10248] [2:error] [269703] Get srv info: 1000432060
[2018-10-09 19:37:08] [10248] [2:error] [269703] Get srv info: 60907964
[2018-10-09 19:37:08] [10248] [2:error] [269703] Get srv info: 1000432060
[2018-10-09 19:37:08] [10248] [2:error] [269703] Get srv info: 60907964
[2018-10-09 19:37:08] [10248] [2:error] [269718] Req st one time
[2018-10-09 19:37:08] [10248] [2:error] [269734] Req st one time
[2018-10-09 19:37:08] [10248] [2:error] [269734] Req st one time
[2018-10-09 19:37:08] [10248] [2:error] [269750] Req st one time
[2018-10-09 19:37:08] [10248] [2:error] [269765] Req st one time
[2018-10-09 19:37:08] [10248] [2:error] [269765] Req st one time
[2018-10-09 19:37:08] [13164] [2:error] [269781] current srv info: 1000432060 
[2018-10-09 19:37:10] [13164] [2:error] [271796] ip: 1000432060 connect failed
[2018-10-09 19:37:10] [13164] [2:error] [271796] current srv info: 1000432060 
[2018-10-09 19:37:10] [13164] [2:error] [271890] ip: 1000432060 connect successfully
[2018-10-09 19:37:10] [13164] [2:error] [272046] current srv info: 1000432060 
[2018-10-09 19:37:10] [13164] [2:error] [272171] ip: 1000432060 connect successfully
[2018-10-09 19:37:11] [13164] [2:error] [272375] current srv info: 1000432060 
[2018-10-09 19:37:11] [13164] [2:error] [272421] ip: 1000432060 connect successfully
[2018-10-09 19:37:11] [13164] [2:error] [272562] current srv info: 1000432060 
[2018-10-09 19:37:11] [13164] [2:error] [272609] ip: 1000432060 connect successfully
[2018-10-09 19:37:11] [13164] [2:error] [272812] current srv info: 1000432060 
[2018-10-09 19:37:11] [13164] [2:error] [272859] ip: 1000432060 connect successfully
[2018-10-09 19:37:11] [13164] [2:error] [273031] current srv info: 1000432060 
[2018-10-09 19:37:11] [13164] [2:error] [273062] ip: 1000432060 connect successfully
[2018-10-09 19:42:13] [6392] [2:error] [574468] Req st one time
[2018-10-09 19:42:13] [13164] [2:error] [574468] current srv info: 1000432060 
[2018-10-09 19:42:13] [6392] [2:error] [574484] Req st one time
[2018-10-09 19:42:13] [6392] [2:error] [574484] Req st one time
[2018-10-09 19:42:13] [13164] [2:error] [574515] ip: 1000432060 connect successfully
[2018-10-09 19:42:13] [13164] [2:error] [574671] current srv info: 1000432060 
[2018-10-09 19:42:13] [13164] [2:error] [574703] ip: 1000432060 connect successfully
[2018-10-09 19:42:13] [13164] [2:error] [574843] current srv info: 1000432060 
[2018-10-09 19:42:13] [13164] [2:error] [574890] ip: 1000432060 connect successfully
[2018-10-09 19:47:13] [6392] [2:error] [874468] Req st one time
[2018-10-09 19:47:13] [13164] [2:error] [874468] current srv info: 1000432060 
[2018-10-09 19:47:13] [6392] [2:error] [874468] Req st one time
[2018-10-09 19:47:13] [6392] [2:error] [874484] Req st one time
[2018-10-09 19:47:13] [13164] [2:error] [874546] ip: 1000432060 connect successfully
[2018-10-09 19:47:13] [13164] [2:error] [874734] current srv info: 1000432060 
[2018-10-09 19:47:13] [13164] [2:error] [874781] ip: 1000432060 connect successfully
[2018-10-09 19:47:13] [13164] [2:error] [874984] current srv info: 1000432060 
[2018-10-09 19:47:13] [13164] [2:error] [875046] ip: 1000432060 connect successfully
[2018-10-09 19:52:13] [6392] [2:error] [1174468] Req st one time
[2018-10-09 19:52:13] [13164] [2:error] [1174468] current srv info: 1000432060 
[2018-10-09 19:52:13] [6392] [2:error] [1174468] Req st one time
[2018-10-09 19:52:13] [6392] [2:error] [1174484] Req st one time
[2018-10-09 19:52:13] [13164] [2:error] [1174546] ip: 1000432060 connect successfully
[2018-10-09 19:52:13] [13164] [2:error] [1174734] current srv info: 1000432060 
[2018-10-09 19:52:13] [13164] [2:error] [1174781] ip: 1000432060 connect successfully
[2018-10-09 19:52:13] [13164] [2:error] [1174953] current srv info: 1000432060 
[2018-10-09 19:52:13] [13164] [2:error] [1175015] ip: 1000432060 connect successfully
[2018-10-09 19:57:13] [6392] [2:error] [1474468] Req st one time
[2018-10-09 19:57:13] [13164] [2:error] [1474468] current srv info: 1000432060 
[2018-10-09 19:57:13] [6392] [2:error] [1474468] Req st one time
[2018-10-09 19:57:13] [6392] [2:error] [1474484] Req st one time
[2018-10-09 19:57:13] [13164] [2:error] [1474578] ip: 1000432060 connect successfully
[2018-10-09 19:57:13] [13164] [2:error] [1474828] current srv info: 1000432060 
[2018-10-09 19:57:13] [13164] [2:error] [1474968] ip: 1000432060 connect successfully
[2018-10-09 19:57:13] [13164] [2:error] [1475203] current srv info: 1000432060 
[2018-10-09 19:57:14] [13164] [2:error] [1475328] ip: 1000432060 connect successfully
[2018-10-09 20:02:13] [6392] [2:error] [1774468] Req st one time
[2018-10-09 20:02:13] [13164] [2:error] [1774468] current srv info: 1000432060 
[2018-10-09 20:02:13] [6392] [2:error] [1774468] Req st one time
[2018-10-09 20:02:13] [6392] [2:error] [1774484] Req st one time
[2018-10-09 20:02:13] [6392] [2:error] [1774500] Req st one time
[2018-10-09 20:02:13] [13164] [2:error] [1774531] ip: 1000432060 connect successfully
[2018-10-09 20:02:13] [13164] [2:error] [1774750] current srv info: 1000432060 
[2018-10-09 20:02:13] [13164] [2:error] [1774812] ip: 1000432060 connect successfully
[2018-10-09 20:02:13] [13164] [2:error] [1774984] current srv info: 1000432060 
[2018-10-09 20:02:13] [13164] [2:error] [1775031] ip: 1000432060 connect successfully
